Gene ID	Uniprot ID
AMBRA1	H0YE34
APOL1	A0A0S2Z4M8
ARNT	F8T0U4
ARSA	A0A0S2Z309
ARSB	A0A024RAJ9
ATF4	Q6ICP0
ATF6	P18850
ATG10	A0A024RAN5
ATG12	H0YA29
ATG16L1	Q676U5
ATG16L2	Q2VPK0
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG3	C9JNW8
ATG4A	Q8WYN0
ATG4B	F2Z2K8
ATG4C	Q05D29
ATG4D	K7EMB9
ATG5	L7UQJ2
ATG7	C9JGL2
ATG9A	C9JXG2
ATG9B	Q674R7
ATIC	V9HWH7
BAG1	A0A0S2Z3K4
BAG3	C9JFK9
BAK1	Q16611
BAX	A0A0C4MW46
BCL2	A9QXG9
BCL2L1	Q5QP59
BECN1	K7EMA2
BID	A8ASI8
BIRC5	A3E0Z4
BIRC6	H7C3P0
BNIP1	H0YBK7
BNIP3	Q12983
BNIP3L	Q6IBV1
CALCOCO2	H0Y9G3
CAMKK2	Q8IZW1
CANX	D6RB85
CAPN1	E9PMC6
CAPN10	B7WPF5
CAPN2	C9JWY7
CAPNS1	K7EMQ1
CASP1	B4DVD8
CASP3	C9JXR7
CASP4	E9PMT1
CASP8	K4FGA0
CCL2	Q6UZ82
CCR2	P41597
CD46	Q06C42
CDKN1A	A0A024RCX5
CDKN1B	A7KMP4
CDKN2A	L8E941
CFLAR	F8WBH9
CHMP2B	C9J0A7
CHMP4B	Q9H444
CLN3	Q9UP08
CTSB	E9PQM1
CTSD	A0A1B0GWE8
CX3CL1	P78423
CXCR4	A0A0U3FJG0
DAPK1	A0T398
DAPK2	Q1RMF4
DDIT3	Q53YD1
DIRAS3	O95661
DLC1	E5RI70
DNAJB1	Q6FI51
DNAJB9	Q6FIF1
DRAM1	H0YHV0
EDEM1	F8WE67
EEF2	Q6PK56
EEF2K	L8E8G5
EGFR	A0A068JCC9
EIF2AK2	B7ZKK7
EIF2AK3	E7ER02
EIF2S1	Q53XC0
EIF4EBP1	Q13541
EIF4G1	B2RU06
ERBB2	X5DQX2
ERN1	O75460
ERO1L	Q96HE7
FADD	Q13158
FAM48A	Q8NEM7
FAS	E6Y7C4
FKBP1A	P62942
FKBP1B	G5E9U6
FOS	G3V5J9
FOXO1	V9H0B8
FOXO3	Q9UPC2
GAA	P10253
GABARAP	Q6IAW1
GABARAPL1	F5GYD9
GABARAPL2	H3BU36
GAPDH	Q0QET7
GNAI3	P08754
