Gene ID	Uniprot ID
PRKAA1	Q96E92
PRKAA2	K9J960
ULK1	O75385
ULK2	A0A024QYY7
ATG2A	A0AUL9
ATG2B	L8E8U7
ATG10	A0A024RAN5
ATG3	C9JNW8
Atg3	Q9VVS6
ATG3	C9JNW8
ATG4A	Q8WYN0
ATG4B	F2Z2K8
ATG4C	Q05D29
ATG4D	K7EMB9
ATG5	L7UQJ2
ATG5	L7UQJ2
BECN1	K7EMA2
ATG7	C9JGL2
ATG7	C9JGL2
GABARAP	Q6IAW1
GABARAPL1	F5GYD9
GABARAPL2	H3BU36
MAP1LC3A	Q9H492
MAP1LC3B	H6UMI0
MAP1LC3C	Q9BXW4
ATG9A	C9JXG2
ATG9B	Q674R7
ATG10	A0A024RAN5
ATG10	A0A024RAN5
ATG12	H0YA29
ATG12	H0YA29
S6k	P91656
AKT1	B0LPE5
HARBI1	Q96MB7
RPS6KB1	Q4G0X7
ATG13	H0YF43
ATG14	Q6ZNE5
ATG14	Q6ZNE5
ATG16L1	Q676U5
ATG16L2	Q2VPK0
WIPI1	K7EKN0
WIPI2	L8E8Q1
WIPI1	K7EKN0
WIPI2	L8E8Q1
SNX4	F8WDD4
MTOR	B1AKP8
MAPK1	Q499G7
MAPK3	P27361
PRKAA1	Q96E92
PRKAA2	K9J960
UVRAG	E9PK00
SH3GLB1	A0A087WW40
DRAM2	A0A024R0B7
AMBRA1	H0YE34
RB1CC1	E5RH63
ATG101	Q9BSB4
ZFYVE1	G3V5N8
BCL2	A9QXG9
BCL2L1	Q5QP59
GOPC	T1WFC1
RAB5A	A0A024R2K1
MYD88	A0A193CK37
RUBCN	Q8N4U6
SQSTM1	E9PFW8
NBR1	Q3LRJ5
VMP1	K7EPE7
TP53INP2	Q5JX65
BNIP3	Q12983
DIRAS3	O95661
RHEB	Q6NZ61
TSC1	Q32NF0
TSC2	X5D7S4
PTEN	A0A142FGX1
STK11	A0A0S2Z4D1
SESN1	Q9Y6P5
SESN2	P58004
ABL1	A9UF02
BCR	A0A173G4P0
CASP3	C9JXR7
EIF4E	Q32Q75
EGFR	A0A068JCC9
RAF1	A0A0S2Z4L5
MAP2K1	H3BRW9
MAP2K2	B3KS97
RGS19	Q6I9S5
Gcn2	O61651
ATF4	Q6ICP0
EIF2AK3	E7ER02
ERN1	O75460
TRAF2	B1AMX8
CHUK	Q562E6
CDKN2A	L8E941
CDKN1B	A7KMP4
VTI1B	H0YJL5
FOXO3	Q9UPC2
TER94	Q8IGZ2
RUNX1	X5CT71
MTMR14	B4DQK9
PRB1	P04280
InR	D0UY84
gig	Q9U9B0
lqf	Q9U740
Eip93F	A0A0B4KHV1
hep	M9PEF9
kay	Q7KVR8
foxo	H1ZY76
IRGM	A1A4Y4
NOD1	A0A024RA73
NOD2	Q9HC29
HDAC6	C9JEF4
WDFY3	A0A1D5RMR8
MAPK8	B5BUB8
RPTOR	I3L2I3
MLST8	H3BN58
AKT1S1	A0A024QZF6
DEPTOR	Q8TB45
RICTOR	Q6R327
MAPKAP1	B1AMA6
PRR5	E9PH80
RRAGB	Q5VZM2
MAP4K3	Q53RV1
SLC1A5	Q71UA6
SLC7A5	Q2MCL6
SLC3A2	H0YH36
DDIT4	A0A024QZQ6
SUPT20H	Q0D2Q4
RAB7A	C9IZZ0
RAB9A	A0A024RBV5
TMEM173	V5V0K2
TBK1	F5H206
RAB33B	Q5U602
MFN2	Q5JXC5
PARK2	S4X465
PINK1	Q9BXM7
VDAC1	L8ECA2
CALCOCO2	H0Y9G3
AGFG1	A0A0S2Z3Z1
AP2A1	M0R2D9
AP2A2	A0A0G2JS17
AP2B1	A0A087X253
AP2M1	C9JPV8
AP2S1	M0QYZ2
ARF6	Q6FH17
ARHGAP26	Q9HBW4
CLTA	C9J8P9
CLTB	B4DTF9
CLTC	J3KS13
DNM1	Q05193
DNM1L	Q32Q67
DNM2	K7ENE7
DNM3	H0YBC6
EXOC1	Q9NV70
EXOC2	Q2MDF5
EXOC3	O60645
EXOC4	Q8TAR2
EXOC5	G3V4Z7
EXOC6	A5YP36
EXOC7	Q5G0E1
EXOC8	Q8IYI6
GLIPR2	D3DRP5
OPA1	A8MXB6
PLD1	F8WBV7
RALA	H7C3P7
RALB	A0A024RAG3
RRAGA	Q7L523
RRAGC	D3DPT8
RRAGD	Q9NQL2
STX17	Q6NSC7
STX7	O15400
STX8	I3L3D0
TBC1D14	B9A071
TBC1D25	Q3MII6
TBC1D7	A0A024R011
TRAPPC1	I3L1R8
TRAPPC2	E5RFG0
TRAPPC3	A6NKE1
TRAPPC4	J3KP27
TRAPPC5	M0QZQ8
TRAPPC6A	B7TZ90
TRAPPC8	Q6PCC9
TRAPPC9	H0YBR0
TRAPPC10	Q76NH5
VAMP3	Q6FGG2
VAMP7	P51809
ACBD5	B7Z2R7
ALPL	G8I0M6
EPG5	Q9BTI0
FIS1	F5H8A8
VPS33A	L8EAC9
FUNDC1	Q8IVP5
HSPA8	Q96H53
LAMP2	Q6LDB5
LRSAM1	A0A024R870
MAPK8IP1	Q6NUQ9
NRBF2	Q96F24
SIDT2	Q1RMF0
PEX5	A0A0S2Z480
RCAN1	B4X9P1
SCOC	A0A0C4DGB0
SIN3A	H3BQ88
SIN3B	M0QYC5
NCOA4	V9H022
SNAP29	C9JAF7
TBC1D5	B9A6K1
PGAM5	F5GXG4
TECPR1	Q7Z6L1
TFEB	B1AKB2
RAB9A	A0A024RBV5
TOMM7	A0A087WZY2
TRAF6	Q9Y4K3
UBE2A	A0A0D9SF75
UBE2D2	D6RFM0
UBE2D3	A0A024RDJ6
UBE2L3	A0A024R1A4
UBE2N	F8VZ29
VAMP8	C9JXZ5
