A_node_name	B_node_name	Int_type_1	Source_db
uniprot:O43541	uniprot:Q15797	0462(bind)	signor
uniprot:O43541	uniprot:Q15797	2240(down-regulates)	signor
uniprot:P45983	uniprot:P15336	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:P15336	2235(up-regulates)	signor
uniprot:Q13546	uniprot:Q14790	0462(bind)	signor
uniprot:Q13546	uniprot:Q14790	2236(up-regulates activity)	signor
uniprot:O15169	uniprot:P36894	0220(ubiquitination reaction)	signor
uniprot:O15169	uniprot:P36894	2240(down-regulates)	signor
uniprot:P12931	uniprot:P42224	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P42224	2236(up-regulates activity)	signor
uniprot:P42345	uniprot:P42345	0217(phosphorylation reaction)	signor
uniprot:P42345	uniprot:P42345	2236(up-regulates activity)	signor
uniprot:O43541	uniprot:Q13485	0462(bind)	signor
uniprot:O43541	uniprot:Q13485	2241(down-regulates activity)	signor
uniprot:Q13158	uniprot:Q14790	0462(bind)	signor
uniprot:Q13158	uniprot:Q14790	2236(up-regulates activity)	signor
uniprot:Q16539	uniprot:P10636	0217(phosphorylation reaction)	signor
uniprot:Q16539	uniprot:P10636	2235(up-regulates)	signor
uniprot:P45983	uniprot:P63104	0217(phosphorylation reaction)	signor
uniprot:P45983	uniprot:P63104	2240(down-regulates)	signor
uniprot:P17612	uniprot:P10070	0217(phosphorylation reaction)	signor
uniprot:P17612	uniprot:P10070	2240(down-regulates)	signor
uniprot:P49841	uniprot:P36956	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:P36956	2244(down-regulates quantity by destabilization)	signor
uniprot:Q9HCE7	uniprot:P36894	0220(ubiquitination reaction)	signor
uniprot:Q9HCE7	uniprot:P36894	2240(down-regulates)	signor
uniprot:Q12933	uniprot:Q13077	0462(bind)	signor
uniprot:Q12933	uniprot:Q13077	2235(up-regulates)	signor
uniprot:Q12933	uniprot:Q13490	0462(bind)	signor
uniprot:Q12933	uniprot:Q13490	2236(up-regulates activity)	signor
uniprot:O43521	uniprot:Q07817	0462(bind)	signor
uniprot:O43521	uniprot:Q07817	2240(down-regulates)	signor
uniprot:O15169	uniprot:P84022	unknown	signor
uniprot:O15169	uniprot:P84022	2235(up-regulates)	signor
uniprot:Q13950	uniprot:P05186	2247(transcriptional regulation)	signor
uniprot:Q13950	uniprot:P05186	2238(up-regulates quantity by expression)	signor
uniprot:O15530	uniprot:O15530	0217(phosphorylation reaction)	signor
uniprot:O15530	uniprot:O15530	2236(up-regulates activity)	signor
uniprot:O15530	uniprot:O15530	0217(phosphorylation reaction)	signor
uniprot:O15530	uniprot:O15530	directed	signor
uniprot:P49841	uniprot:P49841	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:P49841	2236(up-regulates activity)	signor
uniprot:P17612	uniprot:P49841	0217(phosphorylation reaction)	signor
uniprot:P17612	uniprot:P49841	2241(down-regulates activity)	signor
uniprot:P49841	uniprot:Q07812	0217(phosphorylation reaction)	signor
uniprot:P49841	uniprot:Q07812	2235(up-regulates)	signor
uniprot:O00755	uniprot:P17612	unknown	signor
uniprot:O00755	uniprot:P17612	2236(up-regulates activity)	signor
uniprot:P12931	uniprot:P00533	0217(phosphorylation reaction)	signor
uniprot:P12931	uniprot:P00533	2235(up-regulates)	signor
uniprot:O15105	uniprot:Q9HCE7	2256(relocalization reaction)	signor
uniprot:O15105	uniprot:Q9HCE7	2236(up-regulates activity)	signor
uniprot:O15105	uniprot:P84022	0462(bind)	signor
uniprot:O15105	uniprot:P84022	2241(down-regulates activity)	signor
uniprot:P37173	uniprot:P37173	0217(phosphorylation reaction)	signor
uniprot:P37173	uniprot:P37173	2241(down-regulates activity)	signor
uniprot:P12643	uniprot:Q13873	0462(bind)	signor
