lncrna	Interacting partner	Interaction Class	Interaction Mode	Organism	Description	Tissue	Phenotype	Method	Pubmed id
2310010G23Rik	Mir361	RNA-RNA	Binding	Mus musculus	MDRL can directly bind to miR-361 and act as an endogenous sponge which downregulates miR-361 expression levels and promotes the processing of pri-miR-484.	NULL	NULL	pull-down assay	25057983
2700046G09Rik	Mir23a	RNA-RNA	Binding	Mus musculus	miR-23a is facilitating AGO2 association with PTEN or 2700046G09Rik.	mouse brain	NULL	qPCR, Western blot, RIP.	24101522
CDKN2B-AS1	CARD8	RNA-RNA	Regulation	Homo sapiens	ANRIL can regulate the expression level of CARD8 mRNA and a functional SNP in CARD8, rs2043211 located in exon 5 of CARD8 was significantly associated with ischemic stroke	human umbilical vein endothelial cells and HepG2 cells	NULL	qRT-PCR, RNAi	24385277
APF	MIR188	RNA-RNA	Binding	Homo sapiens	APF is able to directly bind to miR-188-3p and regulate its activity	heart	regulates autophagic programme and autophagic cell death	in vitro	25858075
BACE1-AS	MIR485	RNA-RNA	Regulation	Homo sapiens	We report here that BACE1-antisense prevents miRNA-induced repression of BACE1 mRNA by masking the binding site for miR-485-5p.	NULL	NULL	In vitro	20507594
BACE1-AS	BACE1	RNA-RNA	Regulation	Homo sapiens	The BACE1-antisense transcript (BACE1-AS) regulates BACE1 mRNA and subsequently BACE1 protein expression in vitro and in vivo.expression of BACE1-AS increases BACE1 mRNA stability.	NULL	NULL	In vitro	18587408
Bc1	Arc	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Camk2a	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Bc1	Map1b	RNA-RNA	Binding	Mus musculus	BC1 RNA would bind to MAP1B, alpha-CamKII, and Arc mRNAs regulated by FMRP.	NULL	NULL	in vitro	12581522
Carlr	Mir539	RNA-RNA	Binding	Mus musculus	CARL can act as an endogenous miR-539 sponge that regulates PHB2 expression. CARL is able to directly bind to miR-539 in vivo. miR-539 recognize CARL is in a sequence-specific manner.	heart	CARL inhibits anoxia-induced mitochondrial ?ssion and apoptosis	Luciferase reporter assay, Pulldown assay 	24710105
